n_estimators,max_depth,min_samples_split,min_samples_leaf,learning_rate,subsample,max_features,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,mean_r_squared,time_taken
50,7,2,4,0.1,0.8,log2,10.071051786994706,16.31012119960203,170.95087153655763,13.06969674536911,0.04187046921141518,0.6908123981137602,0.632742166519165
150,5,5,4,0.1,0.8,log2,10.012723301028805,16.102882753371993,170.97805278631245,13.066465341896238,0.04189519046047528,0.6909237816477447,1.3186073303222656
100,5,10,4,0.1,0.8,sqrt,10.050010320472333,16.21101347583251,170.99338540918126,13.06464041109444,0.042406470596910995,0.6908415318912873,0.8328542709350586
200,3,5,2,0.1,1.0,sqrt,10.0355664739313,16.252593100017492,170.9936723320638,13.066155131782875,0.042966194088175466,0.6907022517727031,1.916611909866333
150,5,5,2,0.1,1.0,sqrt,10.010745185211269,16.200395283666804,171.06264948955211,13.067988905624977,0.04311412343795977,0.690758149833336,1.0512847900390625
50,5,10,2,0.1,1.0,sqrt,10.095052042801468,16.39790158914333,171.09069253296468,13.072420135264426,0.042103163234481975,0.6906034854058041,0.22135233879089355
100,5,5,4,0.1,0.8,sqrt,9.989446826215566,16.125088833969386,171.10687075820448,13.069294771019822,0.04225721869549017,0.690676109532536,0.7174596786499023
100,5,5,2,0.2,1.0,log2,10.085530014484831,16.178403401427193,171.11281517601873,13.070204441505632,0.04284772604440974,0.6907229670884707,0.7833669185638428
200,5,10,1,0.1,0.8,sqrt,10.093825553713618,16.25259297903123,171.1422728427038,13.071610702571107,0.043254241766947976,0.6905964317653368,1.4096670150756836
50,7,2,2,0.1,0.8,log2,10.12523369744334,16.398351761336436,171.15115404270108,13.067412997171314,0.04215555195124161,0.6906815026897434,0.4510784149169922
150,5,10,4,0.1,1.0,sqrt,10.08898383167878,16.31341730592153,171.47855447871106,13.080161051370897,0.04270594870602683,0.6901385254115404,1.1371779441833496
100,7,2,2,0.1,0.8,log2,10.103071719997592,16.25683710658509,171.53491310068102,13.089655569673946,0.04242299313957641,0.6897390273313814,1.255756139755249
200,5,10,2,0.1,1.0,sqrt,10.113927873469066,16.22139243592426,171.54403763431023,13.085862212248832,0.042676229072586926,0.6897377493777503,1.3825368881225586
200,5,2,1,0.1,1.0,sqrt,10.12296696305361,16.323561580255426,171.54523498380132,13.086108813391107,0.04319794984042644,0.6898304145338839,2.0602478981018066
100,7,2,4,0.1,0.8,sqrt,10.050261426129817,16.09212810349687,171.6690991448314,13.093052645843077,0.041938496175188175,0.6895409169729854,1.015800952911377
200,3,5,2,0.1,1.0,log2,10.074127169323228,16.279597122103294,171.67385219293578,13.094396872042967,0.04292621328717639,0.6895510793143522,1.848249912261963
100,7,10,4,0.1,1.0,sqrt,10.053698565819621,16.087063854983885,171.68711434154866,13.087049319102567,0.0413784284311713,0.6896242641720004,1.1124539375305176
50,5,10,4,0.2,1.0,log2,10.037668466639655,16.277232034407852,171.7057580200668,13.096409400104514,0.042570214789875375,0.689644089482701,0.2271108627319336
100,5,10,4,0.1,1.0,sqrt,10.130355231515356,16.41489556457099,171.71557181831326,13.095721772859395,0.042839436919988025,0.6896092412354671,0.8579189777374268
150,5,2,4,0.1,0.8,sqrt,10.079833530370326,16.22989359981778,171.72198694543167,13.097530213685138,0.0423517115593791,0.6895932484582282,1.2489187717437744
200,3,5,4,0.2,1.0,sqrt,10.11514089033829,16.312982134284432,171.74283749783604,13.091795327426933,0.0436661861486504,0.6895524569540736,1.7556636333465576
150,3,5,1,0.2,1.0,log2,10.016216133787566,16.146727277116135,171.76101882346697,13.091172232099547,0.043405588897014534,0.6894954509147413,0.798642635345459
150,5,10,2,0.1,0.8,sqrt,10.017512520201226,16.223990390111208,171.78769891201807,13.097856866065442,0.043608370931608166,0.6894047371858101,1.0917718410491943
