time,temperature_2m_max (°C),rain_sum (mm),precipitation_hours (h),dia_de_la_semana,semana_del_mes,semana_del_anio,anio,mes,es_fin_de_semana,es_festivo_mexico,dia_partido,es_dia_laborable,weathercode_3,weathercode_53
6/4/2017,31.3,3.3,3,6,24,24,2017,6,1,0,0,0,0,0
5/21/2022,36.5,0,0,5,21,21,2022,5,1,0,0,0,0,0
9/22/2019,29.9,0,0,6,39,39,2019,9,1,0,1,0,1,0
6/27/2021,32.6,0,0,6,27,27,2021,6,1,0,0,0,0,0
9/25/2021,25.7,0.2,1,5,39,39,2021,9,1,0,0,0,0,0
5/25/2018,31.2,0,0,4,21,21,2018,5,0,0,0,1,0,0
5/22/2021,28.7,0,0,5,21,21,2021,5,1,0,0,0,1,0
2/11/2017,30.6,0,0,5,7,7,2017,2,1,0,0,0,0,0
11/20/2021,23,0,0,5,47,47,2021,11,1,0,0,0,0,0
1/14/2022,25.7,0,0,4,3,3,2022,1,0,0,0,1,0,0
3/29/2022,33.4,0,0,1,14,14,2022,3,0,0,0,1,0,0
7/15/2017,33.7,0,0,5,29,29,2017,7,1,0,0,0,0,0
12/1/2019,22.7,0,0,6,49,49,2019,12,1,0,0,0,0,0
10/22/2021,26.1,0.5,4,4,43,43,2021,10,0,0,0,1,0,0
11/17/2020,21.4,1.1,6,1,47,47,2020,11,0,0,0,1,0,0
8/14/2022,29.6,5.4,12,6,34,34,2022,8,1,0,0,0,0,0
12/26/2021,27.7,0,0,6,53,53,2021,12,1,0,0,0,0,0
4/22/2018,25.2,0,0,6,17,17,2018,4,1,0,1,0,1,0
5/2/2022,32.4,0.5,5,0,19,19,2022,5,0,0,0,1,0,0
4/5/2020,19.9,3,13,6,15,15,2020,4,1,0,1,0,0,1
11/4/2022,31.2,0,0,4,45,45,2022,11,0,0,0,1,0,0
4/9/2017,30.6,0,0,6,16,16,2017,4,1,0,1,0,0,0
3/4/2022,25.9,1.6,7,4,10,10,2022,3,0,0,0,1,0,0
2/20/2021,17.7,0,0,5,8,8,2021,2,1,0,0,0,0,0
11/26/2021,14.4,0.9,4,4,48,48,2021,11,0,0,0,1,0,0
9/13/2020,28.3,1.1,4,6,38,38,2020,9,1,0,1,0,0,0
11/10/2022,28.1,0,0,3,46,46,2022,11,0,0,0,1,0,0
11/25/2017,30.4,0,0,5,48,48,2017,11,1,0,0,0,0,0
1/8/2022,24.1,0.1,1,5,2,2,2022,1,1,0,0,0,0,0
6/7/2019,37.1,0,0,4,23,23,2019,6,0,0,0,1,0,0
5/19/2020,34.9,0,0,1,21,21,2020,5,0,0,0,1,0,0
5/2/2020,32.5,0,0,5,18,18,2020,5,1,0,0,0,0,0
5/31/2022,33.5,0,0,1,23,23,2022,5,0,0,0,1,0,0
11/5/2017,30.1,0,0,6,46,46,2017,11,1,0,0,0,0,0
12/9/2018,17.4,0.2,1,6,50,50,2018,12,1,0,0,0,0,0
3/9/2019,33.2,0,0,5,10,10,2019,3,1,0,0,0,0,0
7/4/2020,34.2,0,0,5,27,27,2020,7,1,0,0,0,0,0
2/20/2019,16.1,0.6,6,2,8,8,2019,2,0,0,0,1,0,0
5/14/2018,29.2,0,0,0,20,20,2018,5,0,0,0,1,1,0
4/21/2018,27.9,0.2,1,5,16,16,2018,4,1,0,0,0,0,0
12/30/2018,12.3,0.1,1,6,53,53,2018,12,1,0,0,0,0,0
8/5/2021,30.6,0.9,3,3,32,32,2021,8,0,0,0,1,0,1
1/20/2018,22.1,0,0,5,3,3,2018,1,1,0,0,0,0,0
12/4/2021,27.5,0,0,5,49,49,2021,12,1,0,0,0,0,0
5/30/2020,24.9,0.7,4,5,22,22,2020,5,1,0,0,0,0,0
10/31/2019,13.9,1,2,3,44,44,2019,10,0,0,1,1,0,1
3/5/2020,21.7,0,0,3,10,10,2020,3,0,0,0,1,0,0
10/26/2019,22.1,0,0,5,43,43,2019,10,1,0,0,0,0,0
9/9/2017,25.9,0.9,4,5,37,37,2017,9,1,0,0,0,0,0
4/16/2017,27.4,0.2,1,6,17,17,2017,4,1,0,1,0,0,0
5/26/2022,31.6,0.1,1,3,22,22,2022,5,0,0,0,1,0,0
5/20/2018,29.5,9.1,4,6,21,21,2018,5,1,0,0,0,0,0
8/9/2022,34.1,0.2,1,1,33,33,2022,8,0,0,0,1,0,0
10/5/2017,25.1,8.5,20,3,41,41,2017,10,0,0,0,1,0,0
10/24/2020,24.2,0.7,2,5,43,43,2020,10,1,0,0,0,0,0
9/5/2020,24.6,25.8,14,5,36,36,2020,9,1,0,0,0,0,0
